Al,B,Co,Cr,Cu,Fe,Ga,La,Mg,Mn,Mo,Nb,Ni,P,Pt,Si,Sn,V,Zn,Zr,sint_temp,sint_time,T,p,flow,dry/red,k_d,yield,score
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.247879131,0.290268081,0.436633362
0.962,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.608993157,1,0.333333333,0,-1,1,0.266231374,0.262036395,0.38454817
0.962,0,0,0,0,0,0.029,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.270294461,0.272525439,0.397726645
0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.151020303,0.021715832,0.036872602
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.678446117,0.318072476,0.204554879
0.989,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.133569997,0.02868177,0.049701493
0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.156660567,0.036845712,0.062146883
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.828332463,0.40251672,0.138198108
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.501359514,0.254253221,0.253561899
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,1,1,0.401581383,0.115550046,0.138294598
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,1,1,0.365774156,0.138376228,0.17552356
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,0.333333333,0,1,1,1.753469874,0.414773872,0
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-1,0,-0.333333333,1,0.438826127,0.276980422,0.310868352
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-1,0,-0.333333333,1,0.471961917,0.256011184,0.270367309
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,-1,0,-0.333333333,1,0.061059186,0.069422176,0.130366629
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.608993157,1,-1,0,-0.333333333,1,0.016925404,0.0831929,0.163569653
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.680069703,0.382372327,0.244664984
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.40565135,0.255495123,0.303706363
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.678008918,0.386817178,0.249103363
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.608993157,1,0.866666667,0,-0.111111111,1,0.536648966,0.234995383,0.217770707
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,0.866666667,0,-0.111111111,1,1.18215543,0.483945383,0
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,0.866666667,0,-0.111111111,1,0.513046605,0.215581784,0.209956563
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,0.333333333,0,-0.111111111,1,1.008031974,0.387105731,0
0.971,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.051808506,0.025761261,0.048853218
0.943,0,0,0,0,0,0.028,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.283121291,0.133019718,0.190718007
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.125766791,0.106813351,0.186759558
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.110474753,0.13387836,0.238176363
0.966,0,0,0,0,0,0.029,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-0.333333333,1,0.091963744,0.117325309,0.213071268
0.943,0,0,0,0,0,0.028,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-1,1,0.202654043,0.201888309,0.321949654
0.966,0,0,0,0,0,0.029,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-1,1,0.07311764,0.191422348,0.354851995
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.540786578,0.475144235,0.43638522
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-0.333333333,0,-1,1,0.360864919,0.413341837,0.528362537
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-1,1,0.093097643,0.169772262,0.30793373
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.608993157,1,-0.333333333,0,-1,1,0.0677733,0.213121738,0.397355548
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-0.333333333,0,-1,1,0.270601974,0.269471388,0.393103796
0.966,0,0,0,0,0,0.029,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.608993157,1,1,0,-1,1,0.451887243,0.363549481,0.398532217
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,1,0,-1,1,0.546881206,0.390469513,0.35385815
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,1,0,-1,1,0.471691472,0.362591531,0.383120396
0.966,0,0,0,0,0,0.029,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.228142045,0.272849828,0.42120262
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.260415007,0.16188348,0.239453185
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.257378229,0.184303019,0.273734869
0.966,0,0,0,0,0,0.029,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-0.333333333,1,0.24248863,0.17716676,0.268411671
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,-1,0.411422402,0.283117371,0.333273084
0.971,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,-1,0.283610263,0.073753298,0.105672212
0.917,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.594353241,0.071626673,0.058110256
0.943,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.365637348,0.089526283,0.113584261
0.943,0,0,0,0,0,0.028,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.544108397,0.273444598,0.249322192
0.971,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.151745527,0.065958161,0.11189861
0.962,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.608993157,1,0.333333333,0,-1,1,0.352208049,0.249998978,0.323894651
0.962,0,0,0,0,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.282751334,0.259141964,0.371738456
0.962,0,0,0,0.01,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.266176808,0.205342559,0.301370264
0.962,0,0,0,0,0,0.029,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,0.333333333,0,-1,1,0.227468123,0.262786886,0.406022492
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,1,0.175227107,0.242451721,0.399935214
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-0.333333333,1,0.192621845,0.1540452,0.248745459
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.706744868,1,0.333333333,0,-0.333333333,1,0.712556862,0.343185412,0.197292583
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-0.333333333,1,0.183314631,0.167659384,0.273849932
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.706744868,1,-0.333333333,0,-0.333333333,1,0.056561074,0.115419518,0.217782532
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,-0.333333333,0,-0.333333333,1,0.112695881,0.108594388,0.192712496
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.706744868,1,-0.333333333,0,-0.333333333,1,0.561737288,0.303643052,0.266150855
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.706744868,1,-1,0,-0.333333333,1,0.288248214,0.258457671,0.367915418
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,-1,0,-0.333333333,1,0.221596011,0.092330785,0.143741303
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.706744868,1,-1,0,-0.333333333,1,0.39402705,0.264466187,0.320518711
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.706744868,1,-1,0,-0.333333333,1,0.040740974,0.081728212,0.156797049
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.706744868,1,-0.333333333,0,-0.333333333,1,0.651301901,0.319223496,0.222625252
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.706744868,1,0.333333333,0,-0.333333333,1,0.610070682,0.304977498,0.237839336
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.804496579,1,0.333333333,0,-0.333333333,1,0.596290021,0.34074242,0.27512223
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.804496579,1,0.333333333,0,-0.333333333,1,0.818212947,0.456044121,0.165805834
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.804496579,1,0.333333333,0,-0.333333333,1,0.406225325,0.242120347,0.287529861
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804496579,1,0.333333333,0,-0.333333333,1,0.203731034,0.148616433,0.236677307
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.536074744,0.422559486,0.392072035
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804496579,1,0.333333333,0,-0.333333333,1,0.253269866,0.122436017,0.182853327
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-1,0,-0.333333333,1,0.171847875,0.244373066,0.404756149
0.961,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-1,0,-0.333333333,1,0.185942327,0.343291555,0.558918249
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.804496579,1,-1,0,-0.333333333,1,0.390619588,0.196376946,0.239336529
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804496579,1,-1,0,-0.333333333,1,0.254936078,0.085317542,0.127134046
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.616240271,0.353496241,0.271315243
0.962,0,0,0,0,0,0.029,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.356110448,0.15634233,0.201334385
0.99,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.127414006,0.019262229,0.033615902
0.989,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.040904985,0.014100037,0.02704655
0.968,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.674932127,0.322566784,0.209712197
0.966,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.481211379,0.269028996,0.279138363
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,-1,0.59538142,0.273128669,0.221025869
0.968,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,-1,0.599981006,0.302162702,0.24174164
0.97,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.246268329,0.322963033,0.486854932
0.971,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.096440035,0.154609778,0.279398412
0.968,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.229910254,0.352107098,0.542308131
0.966,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.245082951,0.355949272,0.537424348
0.943,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.709140701,0.358451679,0.208518009
0.892,0,0,0,0,0,0.107,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.804496579,1,-0.333333333,0,-0.333333333,1,0.690433344,0.317980744,0.196872471
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.264381241,0.23389212,0.344110862
0.935,0.009,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.145140169,0.120253846,0.205600366
0.935,0,0.056,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,2.044741223,0.137922934,0
0.917,0,0.055,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.120567309,0.124076115,0.218233184
0.935,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.343630729,0.218304379,0.286576573
0.943,0.001,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.238780453,0.229789539,0.349840578
0.935,0,0.056,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.212594009,0.200071813,0.315075488
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.267735575,0.228289185,0.334336098
0.939,0.005,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.181945979,0.161583417,0.264367927
0.935,0,0.056,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.375802396,0.186765232,0.233156821
0.935,0,0.056,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.246714999,0.311563685,0.469392501
0.935,0,0.056,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.174778331,0.18244528,0.301115596
0.917,0,0.055,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.153788521,0.169322125,0.286564651
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706744868,1,-1,0,-1,-1,0.104070151,0.117186168,0.209981172
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.608993157,1,-1,0,-1,-1,0.083075915,0.115355184,0.211543893
0.935,0,0.056,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,-1,0,-1,-1,3.235072491,0.162529656,0
0.935,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.608993157,1,-1,0,-1,-1,0.098971081,0.117908685,0.212478269
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,-1,0,-1,-1,0.059505113,0.097228407,0.18288564
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,-0.666666667,-1,0,-1,-1,0.14762816,0.114093389,0.194499983
0.943,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,0,-1,0,-1,-1,0.072227158,0.106026975,0.196737896
0.943,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.297501251,0.149020864,0.209373942
0.935,0.009,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,0.226338741,0.083346,0.128963142
0.935,0,0,0,0,0,0,0,0,0,0,0,0.056,0.009,0,0,0,0,0,0,0.706744868,1,0.333333333,0,-1,-1,2.284275472,0.120714015,0
